assembly_accession	biosample	organism	rule_id	field	value	condition	evidence	detail	Host_SD	Host_TaxID	Host_Context_SD	Host_Health_State_SD	Host_Disease_SD	Isolation_Site_SD	Isolation_Source_SD	Sample_Type_SD
GCA_057608325.1	SAMN50509846	Candidatus Stercorousia faecigallinarum	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_009917565.1	SAMN10053175	Adlercreutzia caecimuris	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Mus musculus	10090				manure	environmental material	manure
GCA_017160835.1	SAMN15355025	Aggregatibacter actinomycetemcomitans	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Chlorocebus sabaeus	60711		healthy	healthy/no disease reported	oral cavity	clinical/host-associated material	dental plaque
GCA_018175015.1	SAMEA5905426	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Gallus gallus	9031				manure		manure
GCA_018175375.1	SAMEA5905408	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Gallus gallus	9031				manure		manure
GCA_026152295.1	SAMN31538040	Salmonella enterica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Sus scrofa domesticus	9825		healthy	healthy/no disease reported	gastrointestinal tract	clinical/host-associated material	gut content
GCA_018908245.1	SAMEA5849402	Clostridioides difficile	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	organ/tissue site	clinical/host-associated material	
GCA_026157645.1	SAMN30260685	Streptococcus mitis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	nasopharynx/oropharynx	clinical/host-associated material	nasopharynx/oropharynx
GCA_026160385.1	SAMN30260572	Streptococcus mitis	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		diseased	diseased		clinical/host-associated material	blood
GCA_011868945.1	SAMN12715300	Escherichia coli O157:H7	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_018279445.1	SAMN19011054	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_039565995.1	SAMN40887291	Ammonicoccus fulvus	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Sus scrofa	9823				manure		culture
GCA_021310295.1	SAMN14969736	Aggregatibacter actinomycetemcomitans	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		subgingival plaque	
GCA_052704245.1	SAMN51207528	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure	environmental material	manure
GCA_004549305.1	SAMN11191530	Listeria monocytogenes	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_005868165.1	SAMN11655239	Salmonella enterica	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Aves	8782				manure		manure
GCA_016413865.1	SAMN17032685	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_043267445.1	SAMN44234721	Salmonella enterica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/no disease reported; proposed=healthy	Homo sapiens	9606		healthy/no disease reported	healthy/no disease reported			
GCA_043269105.1	SAMN44234673	Salmonella enterica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/no disease reported; proposed=healthy	Homo sapiens	9606		healthy/no disease reported	healthy/no disease reported			
GCA_043277185.1	SAMN44236841	Salmonella enterica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/no disease reported; proposed=healthy	Homo sapiens	9606		healthy/no disease reported	healthy/no disease reported			
GCA_043855235.1	SAMN44265587	Salmonella enterica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/no disease reported; proposed=healthy	Homo sapiens	9606		healthy/no disease reported	healthy/no disease reported			
GCA_043859675.1	SAMN44265419	Salmonella enterica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/no disease reported; proposed=healthy	Homo sapiens	9606		healthy/no disease reported	healthy/no disease reported			
GCA_043860775.1	SAMN44265380	Salmonella enterica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/no disease reported; proposed=healthy	Homo sapiens	9606		healthy/no disease reported	healthy/no disease reported			
GCA_043861075.1	SAMN44265364	Salmonella enterica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/no disease reported; proposed=healthy	Homo sapiens	9606		healthy/no disease reported	healthy/no disease reported			
GCA_057375565.1	SAMN59518293	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_057375765.1	SAMN59518204	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_057377165.1	SAMN59518334	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_057377325.1	SAMN59518347	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_057378165.1	SAMN59518375	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_057379005.1	SAMN59518245	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_001676315.1	SAMN05188789	Stenotrophomonas maltophilia	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Equus caballus	9796				manure	environmental material	cell culture
GCA_019278105.1	SAMN18809432	Lactobacillus crispatus	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	urogenital tract	clinical/host-associated material	vaginal swab
GCA_024146065.1	SAMN29507128	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure	environmental material	manure
GCA_024271735.1	SAMN27959352	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_024366795.1	SAMN27959349	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_043353875.1	SAMN43896503	Enterococcus faecalis	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Sus scrofa	9823				manure		manure
GCA_049856835.1	SAMN48009803	Salmonella enterica subsp. enterica	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_053093845.1	SAMN51023247	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Sus scrofa	9823				manure		manure
GCA_053891885.1	SAMN52822231	Edwardsiella tarda	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Siluriformes	7997		diseased	diseased		clinical/host-associated material	
GCA_054855725.1	SAMN51360173	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure	dairy food	dairy farm
GCA_057044065.1	SAMN50509422	Ruminiclostridium sp.	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_056465465.1	SAMN56810725	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_056468725.1	SAMN56812867	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_051896415.1	SAMN45100551	Yersinia enterocolitica	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		diseased	diseased		clinical/host-associated material	feces/stool
